|brand|name|80PLUS|規格|奥行|ｹｰﾌﾞﾙ|EPS 8pin|OEM|ベースモデル|PCB|1次側方式|1次側Cap(s)|2次側方式|2次側液体Caps|2次側固体Caps|プラグイン基板Caps|ファン|ﾌｧﾝﾚｽ|備考|画像等1|画像等2|画像等3|画像等4|h
|Thermaltake|[[Smart BX1 RGB 550W BRONZE PS-SPR-0550NHFABJ-1:https://kakaku.com/item/K0001109731/]]|Bronze|ATX|140|fixed|x1|HKC(九州陽光電源)|不明|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|? Rubycon 105c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|ChengX 105c|jb capacitors(?)|n/a|? XIN WANG XW12025MS(TT-1225)|n/a|3C認証：2018010907125969|||||
|Thermaltake|[[Smart BX1 RGB 650W BRONZE PS-SPR-0650NHFABJ-1:https://kakaku.com/item/K0001109732/]]|Bronze|ATX|140|fixed|x1|HKC(九州陽光電源)|不明|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Rubycon 105c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|ChengX 105c|jb capacitors(?)|n/a|XIN WANG XW12025MS(TT-1225)|n/a|3C認証：2018010907125969|[[link:https://www.nikktech.com/main/articles/pc-hardware/power-supplies/9816-thermaltake-smart-bx1-rgb-650w-power-supply-unit-review?start=4]]|[[link:https://www.hardwareluxx.ru/index.php/artikel/hardware/netzteile/47691-test-i-obzor-thermaltake-smart-bx1-rgb-650w-blok-pitaniya-s-rgb-podsvetkoj-po-vygodnoj-tsene.html?start=2]]|||
|Thermaltake|[[Smart BX1 RGB 750W BRONZE PS-SPR-0750NHFABJ-1:https://kakaku.com/item/K0001109733/]]|Bronze|ATX|140|fixed|x1|HKC(九州陽光電源)|不明|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Rubycon 105c|ﾀﾞｲｵｰﾄﾞ整流 + DC/DC?|ChengX 105c|jb capacitors(?)|n/a|? XIN WANG XW12025MS(TT-1225)|n/a|-|[[link:https://megaobzor.com/review-Thermaltake-Smart-BX1-RGB-750W.html]]||||
|Thermaltake|[[TOUGHPOWER GX1 RGB GOLD 500W PS-TPD-0500NHFAGJ-1:https://kakaku.com/item/K0001115222/]]|Gold|ATX|140|fixed|x1|HKC(九州陽光電源)|不明|片面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|Rubycon 105c|同期整流 + DC/DC|ChengX 105c|Teapo|n/a|XIN WANG XW12025MS(TT-1225)|n/a|3C認証：2018010907125297|[[link:https://www.thermaltake.com/toughpower-gx1-rgb-600w-gold.html]]||||
|Thermaltake|[[TOUGHPOWER GX1 RGB GOLD 600W PS-TPD-0600NHFAGJ-1:https://kakaku.com/item/K0001115223/]]|Gold|ATX|140|fixed|x1|HKC(九州陽光電源)|不明|片面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|Rubycon 105c|同期整流 + DC/DC|ChengX 105c|Teapo|n/a|XIN WANG XW12025MS(TT-1225)|n/a|3C認証：2018010907125297|[[link:https://www.thermaltake.com/toughpower-gx1-rgb-600w-gold.html]]|[[link:https://occlub.ru/testodrom/37587-thermaltake-toughpower-gx1-rgb-600-vt-obzor-jeksperiment-udalsja/4]]|||
|Thermaltake|[[TOUGHPOWER GX1 RGB GOLD 700W PS-TPD-0700NHFAGJ-1:https://kakaku.com/item/K0001115224/]]|Gold|ATX|140|fixed|x1|HKC(九州陽光電源)|不明|片面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|Rubycon 105c|同期整流 + DC/DC|ChengX 105c|Teapo|n/a|XIN WANG XW12025MS(TT-1225)|n/a|3C認証：2018010907125297|[[link:https://www.thermaltake.com/toughpower-gx1-rgb-600w-gold.html]]||||
|Thermaltake|[[TR2 450W V2 BRONZE PS-TR2-0450NPCBJP-B-V2:https://kakaku.com/item/K0000873519/]]|Bronze|ATX|140|fixed|x1|CWT|CWT GPK|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|日本メーカー 105c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|CapXon 105c|n/a|n/a|不明|n/a|-|[[link:https://kakaku.com/item/K0000873520/images/page=ka_5/]]||||
|Thermaltake|[[TR2 450W V2 GOLD PS-TR2-0450NPCGJP-G-V2:https://kakaku.com/item/K0000873515/]]|Gold|ATX|140|fixed|x1|Sirtec|Sirtec Astro Lite HPM|片面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|Teapo 85c|同期整流 + DC/DC|TEAPO 105c|Teapo|n/a|不明|n/a|-|[[link:https://www.ask-corp.jp/products/thermaltake/power-supply/tr2-v2-gold.html]]||||
|Thermaltake|[[TR2 500W V2 BRONZE PS-TR2-0500NPCBJP-B-V2:https://kakaku.com/item/K0000873520/]]|Bronze|ATX|140|fixed|x1|CWT|CWT GPK|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|日本メーカー 105c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|CapXon 105c|n/a|n/a|不明|n/a|-|[[link:https://kakaku.com/item/K0000873520/images/page=ka_5/]]||||
|Thermaltake|[[TR2 500W V2 GOLD PS-TR2-0500NPCGJP-G-V2:https://kakaku.com/item/K0000873516/]]|Gold|ATX|140|fixed|x1|Sirtec|Sirtec Astro Lite HPM|片面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|Teapo 85c|同期整流 + DC/DC|TEAPO 105c|Teapo|n/a|不明|n/a|-|[[link:https://www.ask-corp.jp/products/thermaltake/power-supply/tr2-v2-gold.html]]||||
|Thermaltake|[[TR2 600W V2 BRONZE PS-TR2-0600NPCBJP-B-V2:https://kakaku.com/item/K0000873521/]]|Bronze|ATX|140|fixed|x1|CWT|CWT GPK|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|日本メーカー 105c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|CapXon 105c|n/a|n/a|不明|n/a|-|[[link:https://kakaku.com/item/K0000873520/images/page=ka_5/]]||||
|Thermaltake|[[TR2 600W V2 GOLD PS-TR2-0600NPCGJP-G-V2:https://kakaku.com/item/K0000873517/]]|Gold|ATX|140|fixed|x1|Sirtec|Sirtec Astro Lite HPM|片面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|Teapo 85c|同期整流 + DC/DC|TEAPO 105c|Teapo|n/a|不明|n/a|-|[[link:https://www.ask-corp.jp/products/thermaltake/power-supply/tr2-v2-gold.html]]||||
|ZAWARD|[[FLEX 250 ENP7025B-126YGD-N:https://kakaku.com/item/K0000419776/]]|Bronze|Flex ATX|81.5|fixed|-|Enhance|Enhance ENP7100|不明|不明|不明|不明|不明|不明|n/a|不明|n/a|-|||||
|玄人志向|[[KRPW-AC120W:https://kakaku.com/item/K0000488262/]]|未取得|AC Brick|0|fixed|-|Enhance|ENA-1112-19 + END0512|n/a|n/a|n/a|DC/DC|chemi-con / rubycon 105c|n/a|n/a|n/a|n/a|-|[[link:http://rarak.jp/5510]]||||
|玄人志向|[[KRPW-AK650W/88+:https://kakaku.com/item/K0000903028/]]|Silver|ATX|140|fixed|x1|Enhance|Enhance ATX1500B|両面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC?|日本メーカー 105c|同期整流 + DC/DC|? TAICON / Teapo 105c|? unicon|n/a|不明|n/a|-|||||
|玄人志向|[[KRPW-AK750W/88+:https://kakaku.com/item/K0000903027/]]|Silver|ATX|140|fixed|x1|Enhance|Enhance ATX1500B|両面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC?|日本メーカー 105c|同期整流 + DC/DC|TAICON / Teapo 105c|unicon|n/a|不明|n/a|-|[[link:https://potato.5ch.net/test/read.cgi/jisaku/1308823441/989-990]]||||
|玄人志向|[[KRPW-BK450W/85+:https://kakaku.com/item/K0001026571/]]|Bronze|ATX|140|semi|x1|HEC|(MasterWatt)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|日本メーカー 105c|同期整流 + DC/DC|chemi-con 105c|FPCAP|chemi-con 105c|DWPH EFS-12E12H|n/a|-|[[link:https://egg.5ch.net/test/read.cgi/jisaku/1544418614/717]]|[[link:https://www.amazon.co.jp/dp/B078HLJP9P#aplus_feature_div]]|||
|玄人志向|[[KRPW-BK550W/85+:https://kakaku.com/item/K0001026570/]]|Bronze|ATX|140|semi|x1|HEC|(MasterWatt)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|日本メーカー 105c|同期整流 + DC/DC|? chemi-con 105c|? FPCAP|? chemi-con 105c|? DWPH EFS-12E12H|n/a|-||[[link:https://www.amazon.co.jp/dp/B078HLJP9P#aplus_feature_div]]|||
|玄人志向|[[KRPW-BK650W/85+:https://kakaku.com/item/K0001026569/]]|Bronze|ATX|140|semi|x1|HEC|(MasterWatt)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|日本メーカー 105c|同期整流 + DC/DC|chemi-con 105c|FPCAP|chemi-con 105c|? DWPH EFS-12E12H|n/a|-|[[link:https://koshitatu.com/?p=12871]]|[[link:https://www.amazon.co.jp/dp/B078HLJP9P#aplus_feature_div]]|||
|玄人志向|[[KRPW-BK750W/85+:https://kakaku.com/item/K0001026568/]]|Bronze|ATX|140|semi|x1|HEC|(MasterWatt)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|日本メーカー 105c|同期整流 + DC/DC|? chemi-con 105c|? FPCAP|? chemi-con 105c|? DWPH EFS-12E12H|n/a|-||[[link:https://www.amazon.co.jp/dp/B078HLJP9P#aplus_feature_div]]|||
|玄人志向|[[KRPW-GK550W/90+:https://kakaku.com/item/K0001012951/]]|Gold|ATX|140|full|x1|Enhance|Enhance ATX2700|両面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|日本メーカー 105c|同期整流 + DC/DC|? Teapo / Unicon 105c|不明|不明|不明|n/a|-|||||
|玄人志向|[[KRPW-GK650W/90+:https://kakaku.com/item/K0001012950/]]|Gold|ATX|140|full|x1|Enhance|Enhance ATX2700|両面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|日本メーカー 105c|同期整流 + DC/DC|? Teapo / Unicon 105c|不明|不明|不明|n/a|-|||||
|玄人志向|[[KRPW-GK750W/90+:https://kakaku.com/item/K0001012949/]]|Gold|ATX|140|full|x2|Enhance|Enhance ATX2700|両面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|日本メーカー 105c|同期整流 + DC/DC|Teapo / Unicon 105c|不明|不明|不明|n/a|-|[[link:https://blog.tsukumo.co.jp/ex/2017/12/_krpw-gk750w90.html]]||||
|玄人志向|[[KRPW-L5-400W/80+:https://kakaku.com/item/K0000793727/]]|Standard|ATX|140|fixed|x1|Enhance|Enhance ATX1200B|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Teapo 105c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|Teapo / Su'scon / Taicon 105c|n/a|n/a|Yateloon D12SH-12|n/a|-|[[link:https://sitifukuzin.com/blog/?p=50799]]||||
|玄人志向|[[KRPW-L5-500W/80+:https://kakaku.com/item/K0000793726/]]|Standard|ATX|140|fixed|x1|Enhance|Enhance ATX1200B|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Teapo 105c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|Teapo / Su'scon / Taicon 105c|n/a|n/a|? Yateloon D12SH-12|n/a|-|[[link:https://akiba-pc.watch.impress.co.jp/img/ah/docs/726/008/html/mdosv1511_9a04.jpg.html]]||||
|玄人志向|[[KRPW-L5-600W/80+:https://kakaku.com/item/K0000793725/]]|Standard|ATX|140|fixed|x1|Enhance|Enhance ATX1200B|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|? Teapo 105c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|? Teapo / Su'scon / Taicon 105c|n/a|n/a|? Yateloon D12SH-12|n/a|-|||||
|玄人志向|[[KRPW-MG1200W:https://kakaku.com/item/K0001072540/]]|未取得|ATX|180|fixed|x1|ATNG|ATNG BT-1200WF|片面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC?|JEFA 105c?|同期整流 + DC/DC?|Teapo 105c?|不明|n/a|不明|n/a|-|[[link:https://elmir.ua/power_supplies/power_supply_unit_1200w_atng_80+_gold_bulk_eth-1200.html]]|[[link:https://qwertyshop.ua/atng-eth-1200-bulk-1200w]]|||
|玄人志向|[[KRPW-N500W/85+:https://kakaku.com/item/K0000630658/]]|Bronze|ATX|125|fixed|x1|ATNG|ATNG ATA-B|片面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|Teapo 105c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|Teapo( / Su'scon?) 105c|n/a|n/a|? BOK BDM12025S|n/a|-|[[link:https://b.eax.jp/review/11806/]]||||
|玄人志向|[[KRPW-N600W/85+:https://kakaku.com/item/K0000779148/]]|Bronze|ATX|125|fixed|x1|ATNG|ATNG ATA-B|片面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|Teapo 105c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|Teapo( / Su'scon?) 105c|n/a|n/a|BOK BDM12025S|n/a|-|[[link:https://akiba-pc.watch.impress.co.jp/docs/dosv/758155.html]]||||
|玄人志向|[[KRPW-PT500W/92+ REV2.0:https://kakaku.com/item/K0000623947/]]|Platinum|ATX|140|fixed|x1|Enhance|Enhance ATX1300|両面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|Panasonic 105c|同期整流 + DC/DC|Teapo / TAICON / Su'scon 105c|Teapo or Duratech / Enesol|n/a|? Yateloon D12SH-12|n/a|Ecos ID # 3784.1|||||
|玄人志向|[[KRPW-PT600W/92+ REV2.0:https://kakaku.com/item/K0000623946/]]|Platinum|ATX|140|fixed|x1|Enhance|Enhance ATX1300|両面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|Panasonic 105c|同期整流 + DC/DC|Teapo / TAICON / Su'scon 105c|Teapo or Duratech / Enesol|n/a|Yateloon D12SH-12|n/a|Ecos ID # 3785.1|[[link:https://u7.getuploader.com/dengensure/download/136]]|[[link:http://will2.web.fc2.com/dengen2.html]]|||
|玄人志向|[[KRPW-RS700W/88+:https://kakaku.com/item/K0000733580/]]|Silver|ATX|140|fixed|x1|ATNG|ATNG ATG-S|片面|不明|不明 105c|不明|不明 105c|不明|n/a|不明|n/a|Ecos ID # 4135.1|||||
|玄人志向|[[KRPW-SX400W/90+:https://kakaku.com/item/K0000585478/]]|Gold|SFX|100|fixed|-|Enhance|Enhance ENP7100S|両面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|日本メーカー 105c|同期整流 + DC/DC|不明 105c|不明|不明|不明|n/a|Ecos ID # 3517.1|||||
|玄人志向|[[KRPW-SXP600W/90+:https://kakaku.com/item/K0001100455/]]|Gold|SFX|100|full|x1|Enhance|Enhance ENP7100S?|両面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|不明|同期整流 + DC/DC|不明 105c|不明|不明|不明|n/a|-|||||
|玄人志向|[[KRPW-TX300W/90+:https://kakaku.com/item/K0000585479/]]|Gold|TFX|175|fixed|x1|IN WIN|INWIN GF (IP-P300GF7-2)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|不明 105c|ﾀﾞｲｵｰﾄﾞ整流 + DC/DC|不明 105c|不明|n/a|不明|n/a|Ecos ID # 2621.1|||||
