|brand|name|80PLUS|規格|奥行|ｹｰﾌﾞﾙ|EPS 8pin|OEM|ベースモデル|PCB|1次側方式|1次側Cap(s)|2次側方式|2次側液体Caps|2次側固体Caps|プラグイン基板Caps|ファン|ﾌｧﾝﾚｽ|備考|画像等1|画像等2|画像等3|画像等4|h
|HEC|[[WIN+ POWER 3s HEC-WN3S-500W:https://kakaku.com/item/K0000851707/]]|Bronze|ATX|140|fixed|x1|HEC|(Be Quiet Pure Power L8)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|CapXon 85c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|Teapo 105c|n/a|n/a|不明|n/a|-|[[link:https://akiba-pc.watch.impress.co.jp/docs/dosv/1005399.html#contents-section-2-4]]||||
|HEC|[[WIN+ POWER 3s HEC-WN3S-600W:https://kakaku.com/item/K0000851708/]]|Bronze|ATX|140|fixed|x1|HEC|(Be Quiet Pure Power L8)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|? CapXon 85c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|? Teapo 105c|n/a|n/a|不明|n/a|-|||||
|IN WIN|[[IP-P300CN7-2-H:https://kakaku.com/item/K0000622685/]]|Bronze|TFX|100|fixed|x1|IN WIN|不明|片面|不明|不明|不明|不明|不明|不明|不明 80mm|n/a|-|||||
|IN WIN|[[IP-S300EF7-2-H:https://kakaku.com/item/K0000622684/]]|Bronze|TFX|175|fixed|-|IN WIN|不明|片面|不明|不明|不明|不明|不明|不明|不明|n/a|-|||||
|IN WIN|[[IP-S300FF1-0 H EM:https://kakaku.com/item/K0001004908/]]|未取得|TFX|175|fixed|x1|IN WIN|不明|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|不明|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|不明 105c|n/a|n/a|不明 80mm|n/a|-|[[link:https://www.hardwareinsights.com/in-winpower-man-ip-s300ff1-0-tfx-review/3/]]||||
|IN WIN|[[IP-S300FF1-0-H:https://kakaku.com/item/K0000622683/]]|未取得|TFX|175|fixed|x1|IN WIN|不明|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|不明|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|不明 105c|n/a|n/a|不明 80mm|n/a|-|[[link:https://www.hardwareinsights.com/in-winpower-man-ip-s300ff1-0-tfx-review/3/]]||||
|KEIAN|[[GORI-MAX3 KT-S650-12A2:https://kakaku.com/item/K0000747446/]]|Standard|ATX|140|fixed|x1|Comstars|不明|片面|不明|不明|不明|不明|不明|不明|不明|n/a|-|||||
|KEIAN|[[自作本舗 KT-450PS3:https://kakaku.com/item/K0000836004/]]|未取得|ATX|140|fixed|x1|Comstars|不明|片面|不明|不明|不明|不明|不明|不明|不明|n/a|-|||||
|KEIAN|[[静か Gold KT-AP600-AXG HC:https://kakaku.com/item/K0000927231/]]|Gold|ATX|140|fixed|x1|Comstars|不明|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Teapo 105c|ﾀﾞｲｵｰﾄﾞ整流 + DC/DC|不明|不明|n/a|不明|n/a|-|[[link:https://review.kakaku.com/review/K0000927231/ReviewCD=1071846/]]||||
|RAIDMAX|[[Cobra Power RX-600AE-M:https://kakaku.com/item/K0001021590/]]|Gold|ATX|163|full|x1|Andyson|(Aerocool KCAS G)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|? 日本メーカー 105c|? ﾀﾞｲｵｰﾄﾞ整流 + DC/DC|? Teapo 105c|不明|n/a|? POWERYEAR PY-13525H12S|n/a|-|||||
|RAIDMAX|[[Cobra Power RX-800AE-M:https://kakaku.com/item/K0001021591/]]|Gold|ATX|163|full|x1|Andyson|(Aerocool KCAS G)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|日本メーカー 105c|? ﾀﾞｲｵｰﾄﾞ整流 + DC/DC|Teapo 105c|不明|n/a|POWERYEAR PY-13525H12S|n/a|-|[[link:https://www.overclockers.ua/power/raidmax-cobra-rx-800ae/]]||||
|RAIDMAX|[[Thunder RGB RX-535AP-R:https://kakaku.com/item/K0001021588/]]|Bronze|ATX|165|semi|x1|Andyson|(Xigmatek Marverick S)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|? Teapo 85c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|? JunFu 105c|n/a|n/a|? POWERYEAR PY-13525M12S|n/a|-|||||
|RAIDMAX|[[Thunder RGB RX-735AP-R:https://kakaku.com/item/K0001021589/]]|Bronze|ATX|165|semi|x1|Andyson|(Xigmatek Marverick S)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Teapo 85c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|JunFu 105c|n/a|n/a|POWERYEAR PY-13525M12S|n/a|-|[[link:https://www.overclockers.ua/power/raidmax-thunder-rgb-rx-735ap-r/]]||||
|Scythe|[[CORE-SFX300:https://kakaku.com/item/K0000643353/]]|未取得|SFX|100|fixed|-|不明|不明|片面|不明|不明|不明|不明|不明|n/a|QHD 80mm|n/a|-|[[link:http://hatoka.blog.fc2.com/blog-entry-60.html]]||||
|Scythe|[[CORE-TFX275:https://kakaku.com/item/K0000933818/]]|未取得|TFX|175|fixed|-|不明|不明|片面|不明|不明|不明|不明|不明|n/a|QHD QH8020SE 12M|n/a|-|[[link:https://sarashina.info/pc/vostrodengen.html]]||||
|Scythe|[[Ichi Power IP250B:https://kakaku.com/item/K0000275816/]]|未取得|ATX|140|fixed|-|不明|不明|片面|不明|不明|不明|不明|不明|n/a|不明|n/a|-|||||
|Scythe|[[鎌力シルバー プラグイン750W SPKS-750P:https://kakaku.com/item/K0000914833/]]|Silver|ATX|160|semi|x1|Sirtec|Sirtec Astro Lite HPM |片面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|不明|同期整流 + DC/DC|不明 105c|n/a|n/a|不明|n/a|-|[[link:https://www.scythe.co.jp/product/power/spks-750p]]||||
|Scythe|[[剛短3 プラグイン SPGT3-400P:https://kakaku.com/item/K0000904367/]]|Bronze|ATX|123|semi|x1|Sirtec|Sirtec Element Smart|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|不明|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|不明 105c|n/a|n/a|不明|n/a|-|||||
|Scythe|[[剛短4 プラグイン SPGT4-500P:https://kakaku.com/item/K0001119172/]]|Bronze|ATX|125|semi|x1|Sirtec|Sirtec Element Smart|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|不明|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|不明 105c|n/a|n/a|不明|n/a|-|||||
|Scythe|[[剛短4 プラグイン SPGT4-600P:https://kakaku.com/item/K0001119173/]]|Bronze|ATX|125|semi|x1|Sirtec|Sirtec Element Smart|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|不明|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|不明 105c|n/a|n/a|不明|n/a|-|||||
