|※|brand|name|80PLUS|規格|奥行|ｹｰﾌﾞﾙ|EPS 8pin|OEM|ベースモデル|PCB|1次側方式|1次側Cap(s)|2次側方式|2次側液体Caps|2次側固体Caps|プラグイン基板Caps|ファン|ﾌｧﾝﾚｽ|備考|画像等1|画像等2|画像等3|画像等4|h
||ANTEC|[[NE650 Platinum:https://kakaku.com/item/K0001343158/]]|Platinum|ATX|140|full|x2|Jiuzhou Yangguang Power Supply(九州陽光電源)|(Toughpower PF1)|両面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC||同期整流 + DC/DC|||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||ANTEC|[[NE750 Platinum:https://kakaku.com/item/K0001343159/]]|Platinum|ATX|140|full|x2|Jiuzhou Yangguang Power Supply(九州陽光電源)|(Toughpower PF1)|両面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC||同期整流 + DC/DC|||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||ANTEC|[[NE850 Platinum:https://kakaku.com/item/K0001343160/]]|Platinum|ATX|140|full|x2|Jiuzhou Yangguang Power Supply(九州陽光電源)|(Toughpower PF1)|両面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC||同期整流 + DC/DC|||||||[[link:https://www.gdm.or.jp/review/2021/0420/388589/3]]|[[link:]]|[[link:]]|[[link:]]|
||ANTEC|[[SIGNATURE1000 Platinum:https://kakaku.com/item/K0001294083/]]|Platinum|ATX|170|full|x2|Seasonic|Seasonic PRIME PX|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC||同期整流 + DC/DC|||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||ANTEC|[[SIGNATURE1000 Titanium:https://kakaku.com/item/K0001294082/]]|Titanium|ATX|170|full|x2|Seasonic|Seasonic PRIME TX|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC||同期整流 + DC/DC|||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||ANTEC|[[SIGNATURE1300 Platinum:https://kakaku.com/item/K0001294084/]]|Platinum|ATX|170|full|x2|Seasonic|Seasonic PRIME PX|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC||同期整流 + DC/DC|||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Apexgaming|[[AP-550Ti:https://www.apexgaming.info/collections/power-solution/products/apexgaming-ap-550ti-550watt-80-plus-bronze-power-supply]]|Bronze|ATX|140|fixed|x1 +4pin|Solytech|不明|片面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Apexgaming|[[AG-650M:https://www.apexgaming.info/collections/power-solution/products/apexgaming-ag-650m-650w80-gold-fully-modular-power-supply-1]]|Gold|ATX|160|full|x1|Solytech|(AG-M)|両面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|rubycon 105c|同期整流 + DC/DC|Su'scon / Elite 105c|Beryl|Su'scon Electrolytic 105c|AMBEYOND AV-F14025LS|n/a|2次側TEAPOの例も？|[[link:https://www.nikktech.com/main/articles/pc-hardware/power-supplies/9788-apexgaming-ag-650m-650w-power-supply-unit-review?start=4]]|[[link:https://www.coolpc.com.tw/phpBB2/viewtopic.php?f=69&t=249980]]|[[link:https://www.overclockzone.com/ApexgamingAG-650M]]||
||Apexgaming|[[AG-750M:https://www.apexgaming.info/collections/power-solution/products/apexgaming-ag-750m-750w-80-gold-fully-modular-power-supply]]|Gold|ATX|160|full|x1|Solytech|(AG-M)|両面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|rubycon 105c|同期整流 + DC/DC|Su'scon / Elite 105c|Beryl|TEAPO or Su'scon Electrolytic 105c|AMBEYOND AV-F14025MB|n/a|2次側TEAPOの例も？|[[link:https://www.%65xpreview.com/68641.html]]|[[link:http://www.gdm.or.jp/review/2019/0912/319342/3]]|[[link:http://www.%65lecfans.com/d/922339.html]]||
||Apexgaming|[[AG-850M:https://www.apexgaming.info/collections/power-solution/products/apexgaming-ag-850m-850w-80-gold-fully-modular-power-supply]]|Gold|ATX|160|full|x2|Solytech|(AG-M)|両面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|rubycon 105c|同期整流 + DC/DC|Su'scon / Elite 105c|Beryl|Su'scon Electrolytic 105c|AMBEYOND AV-F14025HS|n/a|2次側TEAPOの例も？|[[link:https://www.techpowerup.com/review/apexgaming-ag-850m/4.html]]|[[link:https://underdesktop.com/review-apex-gaming-ag-850m-80-plus-gold-tsunami/]]|||
||Apexgaming|[[AJ-650M:https://www.apexgaming.info/collections/power-solution/products/apexgaming-aj-650m-650watt-80-plus-gold-fully-modular-power-supply]]|Gold|ATX|160|full|x1 +4pin|Solytech|(AG-M)|両面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Apexgaming|[[AJ-750M:https://www.apexgaming.info/collections/power-solution/products/apexgaming-aj-750m-750watt-80-plus-gold-fully-modular-power-supply]]|Gold|ATX|160|full|x2|Solytech|(AG-M)|両面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Apexgaming|[[AJ-850M:https://www.apexgaming.info/collections/power-solution/products/apexgaming-aj-850m-850watt-80-plus-gold-fully-modular-power-supply]]|Gold|ATX|160|full|x2|Solytech|(AG-M)|両面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
